id,inscription_date
250001,2020-01-13
250002,2020-01-12
250003,2020-04-06
250004,2020-04-20
250005,2020-05-09
250006,2020-02-23
250007,2020-04-08
250008,2020-06-16
250009,2020-04-20
250010,2020-04-30
250011,2020-01-24
250012,2020-04-04
250013,2020-06-02
250014,2020-05-01
250015,2020-04-12
250016,2020-03-20
250017,2020-02-07
250018,2020-05-18
250019,2020-03-10
250020,2020-03-21
250021,2020-04-02
250022,2020-05-04
250023,2020-05-09
250024,2020-04-09
250025,2020-03-27
250026,2020-04-20
250027,2020-04-22
250028,2020-02-05
250029,2020-04-21
250030,2020-06-27
250031,2020-02-28
250032,2020-06-22
250033,2020-05-15
250034,2020-01-23
250035,2020-03-25
250036,2020-03-31
250037,2020-04-09
250038,2020-01-20
250039,2020-06-23
250040,2020-02-28
250041,2020-03-23
250042,2020-05-14
250043,2020-05-13
250044,2020-05-30
250045,2020-05-07
250046,2020-05-03
250047,2020-04-04
250048,2020-01-05
250049,2020-04-14
250050,2020-02-28
250051,2020-03-04
250052,2020-04-22
250053,2020-03-03
250054,2020-04-11
250055,2020-01-07
250056,2020-06-05
250057,2020-02-14
250058,2020-05-05
250059,2020-03-24
250060,2020-04-04
250061,2020-04-25
250062,2020-02-12
250063,2020-06-19
250064,2020-05-10
250065,2020-05-04
250066,2020-06-06
250067,2020-03-26
250068,2020-03-28
250069,2020-02-20
250070,2020-06-02
250071,2020-06-21
250072,2020-03-07
250073,2020-05-16
250074,2020-06-14
250075,2020-02-08
250076,2020-04-15
250077,2020-05-03
250078,2020-01-27
250079,2020-04-10
250080,2020-05-20
250081,2020-06-09
250082,2020-01-24
250083,2020-03-16
250084,2020-03-01
250085,2020-06-09
250086,2020-04-14
250087,2020-02-09
250088,2020-06-27
250089,2020-02-17
250090,2020-05-03
250091,2020-01-12
250092,2020-03-04
250093,2020-06-07
250094,2020-03-24
250095,2020-01-04
250096,2020-02-08
250097,2020-04-28
250098,2020-04-20
250099,2020-01-22
250100,2020-03-01
250101,2020-03-16
250102,2020-03-03
250103,2020-04-21
250104,2020-01-02
250105,2020-05-26
250106,2020-04-05
250107,2020-03-18
250108,2020-04-16
250109,2020-05-12
250110,2020-03-08
250111,2020-02-07
250112,2020-03-22
250113,2020-06-17
250114,2020-03-25
250115,2020-02-29
250116,2020-03-19
250117,2020-05-17
250118,2020-05-21
250119,2020-06-04
250120,2020-03-19
250121,2020-03-18
250122,2020-03-28
250123,2020-01-10
250124,2020-02-29
250125,2020-05-26
250126,2020-05-24
250127,2020-04-05
250128,2020-02-05
250129,2020-04-16
250130,2020-02-15
250131,2020-06-02
250132,2020-02-10
250133,2020-02-25
250134,2020-06-10
250135,2020-03-27
250136,2020-06-17
250137,2020-03-12
250138,2020-02-11
250139,2020-03-31
250140,2020-06-13
250141,2020-06-30
250142,2020-04-13
250143,2020-03-28
250144,2020-04-13
250145,2020-02-08
250146,2020-06-05
250147,2020-06-20
250148,2020-04-09
250149,2020-02-19
250150,2020-05-09
250151,2020-02-23
250152,2020-02-06
250153,2020-05-22
250154,2020-01-29
250155,2020-05-23
250156,2020-03-04
250157,2020-03-08
250158,2020-04-20
250159,2020-03-12
250160,2020-04-13
250161,2020-03-21
250162,2020-01-29
250163,2020-02-14
250164,2020-06-26
250165,2020-05-02
250166,2020-06-01
250167,2020-01-17
250168,2020-02-22
250169,2020-03-23
250170,2020-01-03
250171,2020-05-14
250172,2020-06-11
250173,2020-01-01
250174,2020-02-20
250175,2020-01-19
250176,2020-03-16
250177,2020-04-08
250178,2020-05-21
250179,2020-05-21
250180,2020-06-07
250181,2020-06-11
250182,2020-04-19
250183,2020-06-28
250184,2020-01-21
250185,2020-05-02
250186,2020-03-02
250187,2020-06-17
250188,2020-03-19
250189,2020-05-07
250190,2020-05-04
250191,2020-03-31
250192,2020-02-09
250193,2020-01-30
250194,2020-06-23
250195,2020-06-23
250196,2020-01-03
250197,2020-05-23
250198,2020-03-17
250199,2020-06-14
250200,2020-02-29
250201,2020-02-25
250202,2020-01-03
250203,2020-04-24
250204,2020-04-22
250205,2020-01-04
